Andel vaccineret med MFR 1, Fødselsår: 1998-2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Albertslund;Allerød;Assens;Ballerup;Billund;Bogense;Bornholm;Brøndby;Brønderslev-Dronninglund;Dragør;Egedal;Esbjerg;Fanø;Favrskov;Faxe;Fredensborg;Fredericia;Frederiksberg;Frederikshavn;Frederikssund;Frederiksværk-Hundested;Furesø;Faaborg-Midtfyn;Gentofte;Gladsaxe;Glostrup;Greve;Gribskov;Guldborgsund;Haderslev;Hedensted;Helsingør;Herlev;Herning;Hillerød;Hjørring;Holbæk;Holstebro;Horsens;Hvidovre;Høje Tåstrup;Hørsholm;Ikast-Brande;Ishøj;Jammerbugt;Kalundborg;Kerteminde;Kolding;København;Køge;Langeland;Lejre;Lemvig;Lolland;Lyngby-Taarbæk;Læsø;Mariagerfjord;Middelfart;Morsø;Norddjurs;Nyborg;Næstved;Odder;Odense;Odsherred;Randers;Rebild;Ringkøbing-Skjern;Ringsted;Roskilde;Rudersdal;Rødovre;Samsø;Silkeborg;Skanderborg;Skive;Slagelse;Solrød;Sorø;Stevns;Struer;Svendborg;Syddjurs;Sønderborg;Thisted;Tønder;Tårnby;Vallensbæk;Varde;Vejen;Vejle;Vesthimmerland;Viborg;Vordingborg;Ærø;Aabenraa;Aalborg;Århus
1998;Procent;89;88;88;89;80;85;92;90;88;87;90;78;70;91;88;86;87;87;85;87;83;87;84;81;89;87;87;84;84;85;83;80;88;89;85;91;84;85;85;89;85;81;83;87;84;83;86;88;85;88;87;89;89;82;85;60;88;85;88;85;83;86;86;85;80;89;88;87;90;87;83;91;81;87;89;85;86;90;83;86;86;84;88;83;85;87;86;85;82;84;87;86;87;83;78;86;89;87
1999;Procent;90;88;89;93;88;83;93;87;85;86;92;88;75;90;87;87;90;85;84;88;86;87;85;85;90;89;90;83;88;86;84;86;92;90;85;86;87;88;88;92;89;87;92;89;89;85;86;90;87;91;94;94;90;85;86;95;88;86;82;88;83;85;87;88;84;92;88;88;94;91;84;91;81;87;89;82;89;91;86;86;83;86;88;88;81;88;91;86;86;87;88;85;84;84;84;85;88;89
2000;Procent;93;83;86;90;90;84;90;90;87;92;92;86;83;91;86;89;89;86;87;87;87;86;87;84;90;88;93;86;85;87;86;87;91;90;90;89;88;86;85;91;85;83;86;90;85;90;86;90;87;88;86;91;89;86;88;80;87;87;85;87;85;88;91;90;82;93;87;86;92;91;86;90;81;87;89;88;89;91;88;94;87;86;85;87;89;86;87;87;89;88;89;84;88;84;86;83;89;89
2001;Procent;86;84;90;89;83;85;89;89;86;91;93;82;82;90;83;87;91;79;84;90;84;87;89;82;88;86;91;88;86;86;88;86;89;86;88;86;89;88;70;87;86;89;84;84;84;84;87;82;82;89;92;91;88;85;81;100;93;92;87;88;84;88;90;85;82;87;84;88;91;85;84;87;94;90;91;88;90;88;87;90;87;88;85;78;86;84;87;84;85;85;88;84;85;82;69;83;84;82
2002;Procent;85;91;86;91;90;88;88;88;88;85;91;86;95;90;87;87;89;84;87;86;85;86;89;86;88;87;89;86;89;85;90;89;91;85;88;85;89;89;74;90;90;87;84;89;87;86;86;85;84;92;93;92;90;88;83;80;90;88;90;84;84;88;90;88;86;88;89;90;91;88;86;89;93;88;92;89;90;91;88;89;84;87;84;80;86;86;87;92;87;91;87;88;87;88;85;86;85;83
2003;Procent;92;90;91;93;89;83;93;87;91;89;92;87;89;92;90;90;92;87;91;91;88;89;91;87;89;93;90;88;91;90;89;86;90;91;89;89;88;89;85;91;88;86;87;87;82;88;86;90;86;90;90;93;89;89;85;86;89;90;90;86;84;90;92;89;87;92;90;89;91;92;85;89;95;89;92;92;90;88;92;90;84;89;87;85;89;86;89;93;88;90;89;91;88;86;86;87;89;90
2004;Procent;92;89;90;93;89;88;91;88;91;92;94;89;85;91;90;87;91;88;92;92;84;90;91;85;90;89;92;88;91;89;90;91;90;90;90;92;91;91;90;93;88;86;88;87;87;92;91;89;87;92;89;92;89;87;90;94;91;90;79;82;84;88;91;90;85;91;95;92;93;93;86;89;82;91;93;93;91;91;91;92;82;90;89;88;86;83;90;88;89;92;91;89;90;88;81;83;90;91
2005;Procent;91;92;88;91;87;93;89;88;90;87;92;89;92;94;89;87;91;87;90;91;88;89;89;86;89;89;91;86;90;88;88;92;92;92;88;90;91;92;90;89;88;86;87;88;89;90;90;91;86;89;93;94;88;85;90;91;88;89;79;83;84;85;92;90;89;91;91;89;90;91;86;91;87;90;94;86;92;93;89;85;83;89;88;88;85;80;88;90;89;90;89;84;87;88;75;85;91;90
2006;Procent;86;90;90;89;87;86;92;86;91;93;93;88;83;93;89;84;88;87;89;88;85;92;90;85;87;86;91;88;89;87;87;89;91;91;90;89;90;90;91;90;87;83;90;86;90;89;89;91;86;91;90;93;91;87;89;87;90;90;85;88;89;91;92;89;89;91;90;90;92;91;88;90;78;91;93;93;91;91;92;88;86;90;90;90;88;80;91;90;88;88;89;88;92;89;88;85;90;90
2007;Procent;85;89;89;91;85;89;92;88;87;90;93;88;91;93;88;84;87;87;87;91;89;90;90;87;89;83;89;86;88;87;92;89;89;91;90;87;92;91;88;88;86;85;89;86;85;89;88;89;85;91;91;91;91;83;87;86;88;90;92;91;89;89;89;89;85;92;89;89;87;90;86;87;84;90;92;93;87;90;90;86;90;90;89;85;87;85;90;90;93;89;90;89;90;86;83;86;91;90
