Year;Kbh.+Frb;K�benhavns Komm.;Frederiksberg komm.;K�benhvans ;Frederiksborg;Roskilde;Vestsj�lland;Storstr�ms;Bornholms;Fyns;S�nder jylland;Ribe;Vejle;Ringk�bing;�rhus;Viborg;Nordjylland
1987;79;79;79;81;78;88;84;84;89;85;878;83;87;82;81;78;83
1988;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
1989;74;74;74;81;77;81;82;75;87;81;83;85;85;80;82;80;80
1990;77;77;77;86;82;93;86;81;83;84;85;89;85;81;85;83;87
1991;;83;80;88;84;88;86;82;92;83;86;88;86;88;86;84;87
1992;;78;76;85;81;87;86;82;85;86;84;92;88;90;86;86;87
1993;;78;72;81;79;80;80;78;91;81;85;82;86;82;81;79;83
1994;;80;76;87;90;91;90;87;93;89;88;92;93;89;89;91;90
1995;;80;76;88;93;89;90;86;95;90;90;90;89;90;88;87;89
1996;;79;72;85;87;85;85;81;92;85;89;87;86;88;89;86;83
1997;;78;81;85;82;87;82;82;91;87;86;85;84;84;86;82;85
